Barcode	Donor	Tissue	celltype_sub	Sample	Histology	Tissue_sub
NL-plus-19-0222	D20170222	Normal	NK-C7-CD160	D20170222-Normal-CD45+	HCC	Normal
NL-plus-20-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-2-0222	D20170222	Normal	CD8-C8-PDCD1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-22-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-23-0222	D20170222	Normal	CD8-C8-PDCD1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-24-0222	D20170222	Normal	NK-C7-CD160	D20170222-Normal-CD45+	HCC	Normal
NL-plus-25-0222	D20170222	Normal	NK-C1-FCGR3A	D20170222-Normal-CD45+	HCC	Normal
NL-plus-27-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-28-0222	D20170222	Normal	CD8-C4-CX3CR1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-29-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-30-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-3-0222	D20170222	Normal	CD8-C8-PDCD1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-31-0222	D20170222	Normal	CD8-C7-KLRD1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-32-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-34-0222	D20170222	Normal	NK-C1-FCGR3A	D20170222-Normal-CD45+	HCC	Normal
NL-plus-35-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-37-0222	D20170222	Normal	CD8-C8-PDCD1	D20170222-Normal-CD45+	HCC	Normal
NL-plus-38-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-39-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-40-0222	D20170222	Normal	CD8-C6-GZMK	D20170222-Normal-CD45+	HCC	Normal
NL-plus-4-0222	D20170222	Normal	NK-C7-CD160	D20170222-Normal-CD45+	HCC	Normal
NL-plus-41-0222	D20170222	Normal	CD8-C4-CX3CR1	D20170222-Normal-CD45+	HCC	Normal
