"Cell_type"	"Gene"	"source"
"1"	"Dendritic Cell"	"a1/3GTP"	"Abbas_2005"
"2"	"Neutrophil"	"ABTB1"	"Abbas_2005"
"3"	"Neutrophil"	"ABTB1"	"Abbas_2005"
"4"	"Dendritic Cell"	"ABTB2"	"Abbas_2005"
"5"	"Dendritic Cell"	"ADAM12"	"Abbas_2005"
"6"	"Monocyte"	"AFURS1"	"Abbas_2005"
"7"	"Monocyte"	"AFURS1"	"Abbas_2005"
"8"	"Monocyte"	"AFURS1"	"Abbas_2005"
"9"	"B Cell"	"ALG5"	"Abbas_2005"
"10"	"Dendritic Cell"	"ALOX15"	"Abbas_2005"
"11"	"B Cell"	"AMPD1"	"Abbas_2005"
"12"	"Neutrophil"	"AMPD2"	"Abbas_2005"
"13"	"B Cell"	"AP1"	"Abbas_2005"
"14"	"Monocyte"	"AP1S2"	"Abbas_2005"
"15"	"T Cell"	"ARH"	"Abbas_2005"
"16"	"T Cell"	"ARH"	"Abbas_2005"
"17"	"T Cell"	"ASPM"	"Abbas_2005"
"18"	"B Cell"	"B4GALT3"	"Abbas_2005"
"19"	"B Cell"	"BAFFR"	"Abbas_2005"
"20"	"B Cell"	"BANK1"	"Abbas_2005"
"21"	"B Cell"	"BANK1"	"Abbas_2005"
"22"	"B Cell"	"BCL11A"	"Abbas_2005"
"23"	"T Cell"	"BCL11B"	"Abbas_2005"
"24"	"B Cell"	"BCMA"	"Abbas_2005"
"25"	"B Cell"	"BCNP1"	"Abbas_2005"
"26"	"Monocyte"	"BHLHB3"	"Abbas_2005"
"27"	"B Cell"	"BLK"	"Abbas_2005"
"28"	"B Cell"	"BLNK"	"Abbas_2005"
"29"	"B Cell"	"BMP8B"	"Abbas_2005"
"30"	"B Cell"	"BRDG1"	"Abbas_2005"
"31"	"B Cell"	"C14orf138"	"Abbas_2005"
"32"	"B Cell"	"C19orf10"	"Abbas_2005"
"33"	"B Cell"	"C19orf10"	"Abbas_2005"
"34"	"B Cell"	"C20orf31"	"Abbas_2005"
"35"	"Monocyte"	"C21orf42"	"Abbas_2005"
"36"	"T Cell"	"C21orf45"	"Abbas_2005"
"37"	"B Cell"	"C21orf83B"	"Abbas_2005"
"38"	"Neutrophil"	"C5orf6"	"Abbas_2005"
"39"	"T Cell"	"CAMK4"	"Abbas_2005"
"40"	"Monocyte"	"CASP1"	"Abbas_2005"
"41"	"Dendritic Cell"	"CBR3"	"Abbas_2005"
"42"	"T Cell"	"CCDC5"	"Abbas_2005"
"43"	"Dendritic Cell"	"CCL13"	"Abbas_2005"
"44"	"Dendritic Cell"	"CCL17"	"Abbas_2005"
"45"	"Monocyte"	"CCL24"	"Abbas_2005"
"46"	"T Cell"	"CCNA2"	"Abbas_2005"
"47"	"T Cell"	"CCNA2"	"Abbas_2005"
"48"	"T Cell"	"CCNB1"	"Abbas_2005"
"49"	"T Cell"	"CCNB1"	"Abbas_2005"
"50"	"T Cell"	"CCNB2"	"Abbas_2005"
"51"	"Neutrophil"	"CCR3"	"Abbas_2005"
"52"	"Monocyte"	"CCRL2"	"Abbas_2005"
"53"	"B Cell"	"CD19"	"Abbas_2005"
"54"	"Dendritic Cell"	"CD1A"	"Abbas_2005"
"55"	"Dendritic Cell"	"CD1B"	"Abbas_2005"
"56"	"Monocyte"	"CD1D"	"Abbas_2005"
"57"	"Dendritic Cell"	"CD1E"	"Abbas_2005"
"58"	"Dendritic Cell"	"CD1E"	"Abbas_2005"
"59"	"B Cell"	"CD20"	"Abbas_2005"
"60"	"B Cell"	"CD20"	"Abbas_2005"
"61"	"B Cell"	"CD20"	"Abbas_2005"
"62"	"B Cell"	"CD20"	"Abbas_2005"
"63"	"B Cell"	"CD20"	"Abbas_2005"
"64"	"NK Cell"	"CD244"	"Abbas_2005"
"65"	"T Cell"	"CD3D"	"Abbas_2005"
"66"	"T Cell"	"CD3E"	"Abbas_2005"
"67"	"T Cell"	"CD3G"	"Abbas_2005"
"68"	"T Cell"	"CD5"	"Abbas_2005"
"69"	"T Cell"	"CD6"	"Abbas_2005"
"70"	"T Cell"	"CD6"	"Abbas_2005"
"71"	"T Cell"	"CD6"	"Abbas_2005"
"72"	"B Cell"	"CD79A"	"Abbas_2005"
"73"	"B Cell"	"CD79B"	"Abbas_2005"
"74"	"Dendritic Cell"	"CD86"	"Abbas_2005"
"75"	"T Cell"	"CD8A"	"Abbas_2005"
"76"	"T Cell"	"CD8B1"	"Abbas_2005"
"77"	"T Cell"	"CD8B1"	"Abbas_2005"
"78"	"Neutrophil"	"CDA"	"Abbas_2005"
"79"	"T Cell"	"CDC2"	"Abbas_2005"
"80"	"T Cell"	"CDC2"	"Abbas_2005"
"81"	"T Cell"	"CDC2"	"Abbas_2005"
"82"	"T Cell"	"CDCA1"	"Abbas_2005"
"83"	"T Cell"	"CDCA2"	"Abbas_2005"
"84"	"T Cell"	"CDCA5"	"Abbas_2005"
"85"	"Monocyte"	"CDK5RAP2"	"Abbas_2005"
"86"	"Monocyte"	"CDK5RAP2"	"Abbas_2005"
"87"	"Dendritic Cell"	"CG018"	"Abbas_2005"
"88"	"NK Cell"	"CHST12"	"Abbas_2005"
"89"	"Dendritic Cell"	"CHST7"	"Abbas_2005"
"90"	"Neutrophil"	"CKLFSF2"	"Abbas_2005"
"91"	"Neutrophil"	"CLC"	"Abbas_2005"
"92"	"Dendritic Cell"	"CLECSF13"	"Abbas_2005"
"93"	"Monocyte"	"CLECSF5"	"Abbas_2005"
"94"	"Dendritic Cell"	"CLIC2"	"Abbas_2005"
"95"	"NK Cell"	"CLIC3"	"Abbas_2005"
"96"	"Dendritic Cell"	"CNOT10"	"Abbas_2005"
"97"	"B Cell"	"COPEB"	"Abbas_2005"
"98"	"B Cell"	"COPEB"	"Abbas_2005"
"99"	"B Cell"	"CPNE5"	"Abbas_2005"
"100"	"T Cell"	"CPO"	"Abbas_2005"
"101"	"Neutrophil"	"CREB5"	"Abbas_2005"
"102"	"Dendritic Cell"	"CRLF2"	"Abbas_2005"
"103"	"Monocyte"	"CSPG2"	"Abbas_2005"
"104"	"Monocyte"	"CSPG2"	"Abbas_2005"
"105"	"Monocyte"	"CSPG2"	"Abbas_2005"
"106"	"Monocyte"	"CSPG2"	"Abbas_2005"
"107"	"Monocyte"	"CSPG2"	"Abbas_2005"
"108"	"Neutrophil"	"CTBS"	"Abbas_2005"
"109"	"Neutrophil"	"CTBS"	"Abbas_2005"
"110"	"T Cell"	"CTLA4"	"Abbas_2005"
"111"	"T Cell"	"CTLA4"	"Abbas_2005"
"112"	"T Cell"	"CTLA4"	"Abbas_2005"
"113"	"T Cell"	"CTLA4"	"Abbas_2005"
"114"	"Monocyte"	"CTSD"	"Abbas_2005"
"115"	"Monocyte"	"CTSL"	"Abbas_2005"
"116"	"Monocyte"	"CXCL1"	"Abbas_2005"
"117"	"Dendritic Cell"	"CXCL11"	"Abbas_2005"
"118"	"Monocyte"	"CXCL3"	"Abbas_2005"
"119"	"Monocyte"	"CXCL5"	"Abbas_2005"
"120"	"Monocyte"	"CXCL5"	"Abbas_2005"
"121"	"B Cell"	"CXCR5"	"Abbas_2005"
"122"	"T Cell"	"CXCR6"	"Abbas_2005"
"123"	"T Cell"	"CXCR6"	"Abbas_2005"
"124"	"Monocyte"	"CYBB"	"Abbas_2005"
"125"	"Dendritic Cell"	"DCNP1"	"Abbas_2005"
"126"	"Dendritic Cell"	"DCNP1"	"Abbas_2005"
"127"	"Neutrophil"	"DcR1"	"Abbas_2005"
"128"	"Neutrophil"	"DcR1"	"Abbas_2005"
"129"	"Neutrophil"	"DcR1"	"Abbas_2005"
"130"	"Neutrophil"	"DcR1"	"Abbas_2005"
"131"	"Monocyte"	"DDEF1"	"Abbas_2005"
