"cluster_gr"	"annot"
"TPSAB1"	"1"	"S_1"
"CPA3"	"1"	"S_1"
"CD74"	"2"	"S_2"
"C1QB"	"4"	"S_3"
"ELK2AP"	"5"	"S_4"
"GNLY"	"6"	"S_5"
"TPSB2"	"1"	"S_1"
"C1QC"	"4"	"S_3"
"C1QA"	"4"	"S_3"
"CCL4"	"13"	"S_7"
"GZMB"	"13"	"S_7"
"IGLL5"	"5"	"S_4"
"CTSG"	"1"	"S_1"
"TCL1A"	"15"	"S_8"
"IL1B"	"17"	"S_9"
"MS4A1"	"15"	"S_8"
"KIT"	"1"	"S_1"
"IL1RL1"	"1"	"S_1"
"GATA2"	"1"	"S_1"
"TPSD1"	"1"	"S_1"
"PLVAP"	"20"	"S_10"
"CCR7"	"24"	"S_11"
"HLA-DRA"	"2"	"S_2"
"FCER1A"	"27"	"S_12"
"HDC"	"1"	"S_1"
"CD1E"	"27"	"S_12"
"CR2"	"15"	"S_8"
"TM4SF1"	"33"	"S_13"
"UBE2C"	"34"	"S_14"
"GZMH"	"13"	"S_7"
"CD207"	"27"	"S_12"
"FCRLA"	"15"	"S_8"
"HLA-DMB"	"2"	"S_2"
"CNR2"	"15"	"S_8"
"IGFBP7"	"33"	"S_13"
"GZMA"	"13"	"S_7"
"NKG7"	"13"	"S_7"
"CD19"	"15"	"S_8"
"GAL"	"36"	"S_15"
"CD79A"	"15"	"S_8"
"BANK1"	"15"	"S_8"
"FCN1"	"17"	"S_9"
"FCER2"	"15"	"S_8"
"CD1B"	"27"	"S_12"
"FGFBP2"	"6"	"S_5"
"CDC20"	"34"	"S_14"
"KLRF1"	"6"	"S_5"
"FN1"	"42"	"S_17"
"S100A8"	"17"	"S_9"
"LTB"	"24"	"S_11"
"CFP"	"17"	"S_9"
"HLA-DOB"	"15"	"S_8"
"NAPSB"	"2"	"S_2"
"CXCR5"	"15"	"S_8"
"CD40LG"	"49"	"S_19"
"FAM177B"	"15"	"S_8"
"EAF2"	"5"	"S_4"
"CCNB2"	"34"	"S_14"
"CDKN3"	"34"	"S_14"
"SPARC"	"33"	"S_13"
"MNDA"	"17"	"S_9"
"PLK1"	"34"	"S_14"
"CD8B"	"13"	"S_7"
"SH2D1B"	"6"	"S_5"
"AURKB"	"34"	"S_14"
"STAP1"	"15"	"S_8"
"KLHL41"	"36"	"S_15"
"PNOC"	"5"	"S_4"
"CCNB1"	"34"	"S_14"
"SELL"	"24"	"S_11"
"CYSLTR1"	"2"	"S_2"
"VTN"	"47"	"S_22"
"EREG"	"17"	"S_9"
"KIR2DL3"	"6"	"S_5"
"CD8A"	"13"	"S_7"
"C15orf48"	"17"	"S_9"
"IL5RA"	"1"	"S_1"
"CD72"	"2"	"S_2"
"PLD4"	"2"	"S_2"
"BEX1"	"36"	"S_15"
"SELP"	"20"	"S_10"
"GZMK"	"13"	"S_7"
"PPP1R27"	"36"	"S_15"
"FCRL2"	"15"	"S_8"
"MYH1"	"65"	"S_23"
"RAB19"	"6"	"S_5"
"TNFSF8"	"49"	"S_19"
"FPR1"	"17"	"S_9"
"MEOX1"	"20"	"S_10"
"MYLK2"	"65"	"S_23"
"PRF1"	"13"	"S_7"
"DLGAP5"	"34"	"S_14"
"IL7R"	"49"	"S_19"
"FASLG"	"13"	"S_7"
"LTK"	"26"	"S_25"
"KIR2DS4"	"6"	"S_5"
"IGLL1"	"15"	"S_8"
"CST7"	"13"	"S_7"
"TNFRSF25"	"70"	"S_26"
"LAT2"	"2"	"S_2"
"CDCA3"	"34"	"S_14"
"BTK"	"2"	"S_2"
"CX3CR1"	"6"	"S_5"
"NUSAP1"	"34"	"S_14"
"RETN"	"17"	"S_9"
"VWF"	"20"	"S_10"
"BIRC5"	"34"	"S_14"
"CD180"	"2"	"S_2"
"ADAM28"	"15"	"S_8"
"LILRA4"	"26"	"S_25"
"CNN3"	"33"	"S_13"
"C9orf106"	"17"	"S_9"
"NEUROD1"	"36"	"S_15"
"GINS2"	"58"	"S_28"
"TOP2A"	"34"	"S_14"
"HLA-DMA"	"2"	"S_2"
"NCR1"	"6"	"S_5"
"CHRNA1"	"36"	"S_15"
"GIMAP5"	"80"	"S_29"
"VAV3-AS1"	"15"	"S_8"
"CXCR1"	"6"	"S_5"
"FCRL5"	"5"	"S_4"
"HLA-DQA1"	"2"	"S_2"
"TNFRSF13B"	"15"	"S_8"
"TPX2"	"34"	"S_14"
"RACGAP1"	"34"	"S_14"
"FCN3"	"20"	"S_10"
"RAB3C"	"1"	"S_1"
"P2RX5"	"15"	"S_8"
"NCF1"	"2"	"S_2"
"VPREB3"	"15"	"S_8"
"GIMAP7"	"80"	"S_29"
"KLRK1"	"13"	"S_7"
"CD83"	"2"	"S_2"
"CENPF"	"34"	"S_14"
"FAAH2"	"70"	"S_26"
"TROAP"	"34"	"S_14"
"GIMAP4"	"80"	"S_29"
"CLEC4A"	"17"	"S_9"
"CD22"	"15"	"S_8"
"CDA"	"17"	"S_9"
"FGR"	"17"	"S_9"
"PRKCDBP"	"33"	"S_13"
"CDCA8"	"34"	"S_14"
"GPBAR1"	"17"	"S_9"
"HLA-DRB1"	"2"	"S_2"
"HLA-DRB5"	"2"	"S_2"
"PBK"	"34"	"S_14"
"CCR4"	"70"	"S_26"
"HLA-DPA1"	"2"	"S_2"
"CENPE"	"34"	"S_14"
"CD40"	"2"	"S_2"
"OCM"	"6"	"S_5"
"LILRP2"	"26"	"S_25"
"NUF2"	"34"	"S_14"
"CDC45"	"58"	"S_28"
"FITM1"	"36"	"S_15"
"BUB1B"	"34"	"S_14"
"PRSS23"	"33"	"S_13"
"HLA-DQB1"	"2"	"S_2"
"CDCA2"	"34"	"S_14"
