"cluster_gr"	"annot"	"Go"
"TPSAB1"	1	"S_1"	"Mast"
"CPA3"	1	"S_1"	"Mast"
"CD74"	2	"S_2"	"Antigen presentation"
"C1QB"	4	"S_3"	"Macrophage"
"ELK2AP"	5	"S_4"	"Plasma"
"GNLY"	6	"S_5"	"NK"
"TPSB2"	1	"S_1"	"Mast"
"C1QC"	4	"S_3"	"Macrophage"
"C1QA"	4	"S_3"	"Macrophage"
"CCL4"	13	"S_7"	"NK/TCD8"
"GZMB"	13	"S_7"	"NK/TCD8"
"IGLL5"	5	"S_4"	"Plasma"
"CTSG"	1	"S_1"	"Mast"
"TCL1A"	15	"S_8"	"B cell"
"IL1B"	17	"S_9"	"Monocyte"
"MS4A1"	15	"S_8"	"B cell"
"KIT"	1	"S_1"	"Mast"
"IL1RL1"	1	"S_1"	"Mast"
"GATA2"	1	"S_1"	"Mast"
"TPSD1"	1	"S_1"	"Mast"
"PLVAP"	20	"S_10"	"Endothelial"
"CCR7"	24	"S_11"	"T CD4/B (IL12)"
"HLA-DRA"	2	"S_2"	"Antigen presentation"
"FCER1A"	27	"S_12"	"DC immature"
"HDC"	1	"S_1"	"Mast"
"CD1E"	27	"S_12"	"DC immature"
"CR2"	15	"S_8"	"B cell"
"TM4SF1"	33	"S_13"	"CAF endothelial"
"UBE2C"	34	"S_14"	"Cell cycle 1"
"GZMH"	13	"S_7"	"NK/TCD8"
"CD207"	27	"S_12"	"DC immature"
"FCRLA"	15	"S_8"	"B cell"
"HLA-DMB"	2	"S_2"	"Antigen presentation"
"CNR2"	15	"S_8"	"B cell"
"IGFBP7"	33	"S_13"	"CAF endothelial"
"GZMA"	13	"S_7"	"NK/TCD8"
"NKG7"	13	"S_7"	"NK/TCD8"
"CD19"	15	"S_8"	"B cell"
"GAL"	36	"S_15"	"Myocyte"
"CD79A"	15	"S_8"	"B cell"
"BANK1"	15	"S_8"	"B cell"
"FCN1"	17	"S_9"	"Monocyte"
"FCER2"	15	"S_8"	"B cell"
"CD1B"	27	"S_12"	"DC immature"
"FGFBP2"	6	"S_5"	"NK"
"CDC20"	34	"S_14"	"Cell cycle 1"
"KLRF1"	6	"S_5"	"NK"
"FN1"	42	"S_17"	"CAF (integrin/TGFb)"
"S100A8"	17	"S_9"	"Monocyte"
"LTB"	24	"S_11"	"T CD4/B (IL12)"
"CFP"	17	"S_9"	"Monocyte"
"HLA-DOB"	15	"S_8"	"B cell"
"NAPSB"	2	"S_2"	"Antigen presentation"
"CXCR5"	15	"S_8"	"B cell"
"CD40LG"	49	"S_19"	"T CD4 memory/naive"
"FAM177B"	15	"S_8"	"B cell"
"EAF2"	5	"S_4"	"Plasma"
"CCNB2"	34	"S_14"	"Cell cycle 1"
"CDKN3"	34	"S_14"	"Cell cycle 1"
"SPARC"	33	"S_13"	"CAF endothelial"
"MNDA"	17	"S_9"	"Monocyte"
"PLK1"	34	"S_14"	"Cell cycle 1"
"CD8B"	13	"S_7"	"NK/TCD8"
"SH2D1B"	6	"S_5"	"NK"
"AURKB"	34	"S_14"	"Cell cycle 1"
"STAP1"	15	"S_8"	"B cell"
"KLHL41"	36	"S_15"	"Myocyte"
"PNOC"	5	"S_4"	"Plasma"
"CCNB1"	34	"S_14"	"Cell cycle 1"
"SELL"	24	"S_11"	"T CD4/B (IL12)"
"CYSLTR1"	2	"S_2"	"Antigen presentation"
"VTN"	47	"S_22"	"DC mature"
"EREG"	17	"S_9"	"Monocyte"
"KIR2DL3"	6	"S_5"	"NK"
"CD8A"	13	"S_7"	"NK/TCD8"
"C15orf48"	17	"S_9"	"Monocyte"
"IL5RA"	1	"S_1"	"Mast"
"CD72"	2	"S_2"	"Antigen presentation"
"PLD4"	2	"S_2"	"Antigen presentation"
"BEX1"	36	"S_15"	"Myocyte"
"SELP"	20	"S_10"	"Endothelial"
"GZMK"	13	"S_7"	"NK/TCD8"
"PPP1R27"	36	"S_15"	"Myocyte"
"FCRL2"	15	"S_8"	"B cell"
"MYH1"	65	"S_23"	"T CD8 memory 1"
"RAB19"	6	"S_5"	"NK"
"TNFSF8"	49	"S_19"	"T CD4 memory/naive"
"FPR1"	17	"S_9"	"Monocyte"
"MEOX1"	20	"S_10"	"Endothelial"
"MYLK2"	65	"S_23"	"T CD8 memory 1"
"PRF1"	13	"S_7"	"NK/TCD8"
"DLGAP5"	34	"S_14"	"Cell cycle 1"
"IL7R"	49	"S_19"	"T CD4 memory/naive"
"FASLG"	13	"S_7"	"NK/TCD8"
"LTK"	26	"S_25"	"pDC"
"KIR2DS4"	6	"S_5"	"NK"
"IGLL1"	15	"S_8"	"B cell"
"CST7"	13	"S_7"	"NK/TCD8"
"TNFRSF25"	70	"S_26"	"T CD4 reg"
"LAT2"	2	"S_2"	"Antigen presentation"
"CDCA3"	34	"S_14"	"Cell cycle 1"
"BTK"	2	"S_2"	"Antigen presentation"
"CX3CR1"	6	"S_5"	"NK"
"NUSAP1"	34	"S_14"	"Cell cycle 1"
"RETN"	17	"S_9"	"Monocyte"
"VWF"	20	"S_10"	"Endothelial"
"BIRC5"	34	"S_14"	"Cell cycle 1"
"CD180"	2	"S_2"	"Antigen presentation"
"ADAM28"	15	"S_8"	"B cell"
"LILRA4"	26	"S_25"	"pDC"
"CNN3"	33	"S_13"	"CAF endothelial"
"C9orf106"	17	"S_9"	"Monocyte"
"NEUROD1"	36	"S_15"	"Myocyte"
"GINS2"	58	"S_28"	"Cell cycle 2"
"TOP2A"	34	"S_14"	"Cell cycle 1"
"HLA-DMA"	2	"S_2"	"Antigen presentation"
"NCR1"	6	"S_5"	"NK"
"CHRNA1"	36	"S_15"	"Myocyte"
"GIMAP5"	80	"S_29"	"Lymphoid cells"
"VAV3-AS1"	15	"S_8"	"B cell"
"CXCR1"	6	"S_5"	"NK"
"FCRL5"	5	"S_4"	"Plasma"
"HLA-DQA1"	2	"S_2"	"Antigen presentation"
"TNFRSF13B"	15	"S_8"	"B cell"
"TPX2"	34	"S_14"	"Cell cycle 1"
"RACGAP1"	34	"S_14"	"Cell cycle 1"
"FCN3"	20	"S_10"	"Endothelial"
"RAB3C"	1	"S_1"	"Mast"
"P2RX5"	15	"S_8"	"B cell"
"NCF1"	2	"S_2"	"Antigen presentation"
"VPREB3"	15	"S_8"	"B cell"
"GIMAP7"	80	"S_29"	"Lymphoid cells"
"KLRK1"	13	"S_7"	"NK/TCD8"
"CD83"	2	"S_2"	"Antigen presentation"
"CENPF"	34	"S_14"	"Cell cycle 1"
"FAAH2"	70	"S_26"	"T CD4 reg"
"TROAP"	34	"S_14"	"Cell cycle 1"
"GIMAP4"	80	"S_29"	"Lymphoid cells"
"CLEC4A"	17	"S_9"	"Monocyte"
"CD22"	15	"S_8"	"B cell"
"CDA"	17	"S_9"	"Monocyte"
"FGR"	17	"S_9"	"Monocyte"
"PRKCDBP"	33	"S_13"	"CAF endothelial"
"CDCA8"	34	"S_14"	"Cell cycle 1"
"GPBAR1"	17	"S_9"	"Monocyte"
"HLA-DRB1"	2	"S_2"	"Antigen presentation"
"HLA-DRB5"	2	"S_2"	"Antigen presentation"
"PBK"	34	"S_14"	"Cell cycle 1"
"CCR4"	70	"S_26"	"T CD4 reg"
"HLA-DPA1"	2	"S_2"	"Antigen presentation"
"CENPE"	34	"S_14"	"Cell cycle 1"
"CD40"	2	"S_2"	"Antigen presentation"
"OCM"	6	"S_5"	"NK"
"LILRP2"	26	"S_25"	"pDC"
"NUF2"	34	"S_14"	"Cell cycle 1"
